date,academic_exams_binary,academic_graduation_binary,academic_holidays_binary,academic_session_attendance,academic_session_binary,attended_count,big_event_binary,cultural_attendance,demand_surge_binary,large_events_attendance,qdiscretized_att_bins,day_expo_attendance,multiday_attendance,short_expo_attendance,observance_binary,school_holidays_binary,air_quality_rank,blizzard_rank,cold_wave_rank,cold_wave_snow_rank,cold_wave_storm_rank,dust_rank,dust_storm_rank,flood_rank,heat_wave_rank,hurricane_rank,severe_weather_mobility_count,thunderstorm_rank,tornado_rank,tropical_storm_rank,baseball_attendance,baseball_attendance_bin,basketball_attendance,basketball_attendance_bin,boxing_attendance,boxing_attendance_bin,f1_attendance,f1_attendance_bin,horse_racing_attendance,horse_racing_attendance_bin,soccer_attendance,soccer_attendance_bin,sports_attendance_bin,tennis_attendance,cold_binary,disaster_binary,hot_binary,storm_binary,sports_sum,sports_count,conferences_sum,conferences_count,expos_sum,expos_count,community_sum,community_count,festivals_sum,festivals_count,performing_arts_sum,performing_arts_count,concerts_sum,concerts_count,phq_rank_public_holidays,phq_rank_school_holidays,attended_sum_attendance,master_id
2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,5397.0,2.0,1477.0,4.0,0.0,0.0,4244.0,5.0,4200.0,7.0,0,0,15418.0,1
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7223.0,1.0,100.0,1.0,5186.0,1.0,802.0,3.0,0.0,0.0,2222.0,4.0,5785.0,13.0,0,0,21318.0,1
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,2.0,5186.0,1.0,2149.0,8.0,0.0,0.0,3204.0,6.0,5850.0,10.0,0,0,16951.0,1
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,1.0,6224.0,1.0,2572.0,10.0,0.0,0.0,4130.0,8.0,5501.0,13.0,0,0,18792.0,1
2017-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,26088.0,2.0,425.0,1.0,6224.0,1.0,4475.0,12.0,0.0,0.0,4921.0,12.0,10577.0,21.0,0,0,52710.0,1
2017-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,5.0,0.0,0.0,1614.0,4.0,2550.0,6.0,0,0,5174.0,1
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1.0,1476.0,6.0,0.0,0.0,2399.0,4.0,2700.0,4.0,0,0,7125.0,1
2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,18000.0,1.0,0.0,0.0,0.0,0.0,2452.0,5.0,0.0,0.0,3328.0,5.0,2350.0,5.0,0,0,26130.0,1
2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,4.0,0.0,0.0,1968.0,5.0,7184.0,12.0,0,0,10178.0,1
2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0,7.0,0.0,0.0,3155.0,5.0,7841.0,15.0,0,0,12779.0,1
2017-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5036.0,1.0,0.0,0.0,0.0,0.0,3113.0,9.0,475.0,1.0,3752.0,8.0,8411.0,19.0,0,0,20787.0,1
2017-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,1.0,0.0,0.0,3670.0,14.0,475.0,1.0,8370.0,15.0,8123.0,15.0,0,0,20784.0,1
2017-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5875.0,1.0,0.0,0.0,0.0,0.0,49192.0,7.0,1000.0,1.0,3053.0,7.0,3134.0,7.0,0,0,62254.0,1
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.0,2.0,400.0,1.0,1377.0,5.0,0.0,0.0,2911.0,5.0,1525.0,3.0,0,0,10663.0,1
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,1.0,0.0,0.0,2127.0,5.0,0.0,0.0,2207.0,8.0,5425.0,9.0,0,0,13759.0,1
